# batch      l2_tst    l2_trn    l2_e_tst  l2_e_trn    l2_f_tst  l2_f_trn         lr
  17100    1.18e+00  1.38e+00    7.56e-03  9.41e-03    3.74e-02  4.38e-02    5.0e-03
  17200    2.81e+00  2.56e+00    1.11e-02  1.49e-02    8.87e-02  8.10e-02    5.0e-03
  17300    1.50e+00  1.49e+00    3.24e-03  5.52e-03    4.75e-02  4.72e-02    5.0e-03
  17400    3.65e+00  3.29e+00    6.27e-03  6.71e-03    1.15e-01  1.04e-01    5.0e-03
  17500    2.97e+00  2.95e+00    8.28e-03  1.06e-02    9.40e-02  9.33e-02    5.0e-03
  17600    3.02e+00  2.10e+00    1.27e-02  8.82e-03    9.54e-02  6.63e-02    5.0e-03
  17700    2.59e+00  2.46e+00    5.77e-03  7.12e-03    8.18e-02  7.78e-02    5.0e-03
  17800    2.59e+00  2.52e+00    1.17e-02  1.01e-02    8.20e-02  7.97e-02    5.0e-03
  17900    2.76e+00  2.64e+00    7.14e-03  1.27e-02    8.72e-02  8.35e-02    5.0e-03
  18000    1.97e+00  1.77e+00    1.07e-02  9.47e-03    6.24e-02  5.61e-02    5.0e-03
  18100    1.31e+00  1.36e+00    1.15e-02  1.48e-02    4.14e-02  4.32e-02    5.0e-03
  18200    1.93e+00  2.17e+00    7.93e-03  9.47e-03    6.09e-02  6.86e-02    5.0e-03
  18300    2.10e+00  1.66e+00    7.77e-03  8.04e-03    6.65e-02  5.25e-02    5.0e-03
  18400    3.81e+00  2.75e+00    3.36e-02  3.99e-02    1.20e-01  8.68e-02    5.0e-03
  18500    1.54e+00  1.92e+00    6.17e-03  8.53e-03    4.88e-02  6.09e-02    5.0e-03
  18600    1.43e+00  1.17e+00    1.30e-03  8.24e-04    4.52e-02  3.69e-02    5.0e-03
  18700    1.37e+00  1.34e+00    9.07e-03  8.65e-03    4.35e-02  4.22e-02    5.0e-03
  18800    2.22e+00  2.40e+00    6.82e-03  1.34e-02    7.02e-02  7.58e-02    5.0e-03
  18900    4.38e+00  4.30e+00    2.61e-02  2.28e-02    1.38e-01  1.36e-01    5.0e-03
  19000    2.08e+00  2.12e+00    2.32e-03  3.09e-03    6.59e-02  6.69e-02    5.0e-03
  19100    2.07e+00  1.78e+00    1.40e-02  1.51e-02    6.54e-02  5.64e-02    5.0e-03
  19200    1.68e+00  1.74e+00    9.85e-03  1.19e-02    5.30e-02  5.49e-02    5.0e-03
  19300    1.77e+00  1.64e+00    5.78e-03  5.09e-03    5.61e-02  5.18e-02    5.0e-03
  19400    2.21e+00  1.79e+00    9.51e-03  8.32e-03    6.99e-02  5.66e-02    5.0e-03
  19500    2.43e+00  1.75e+00    5.62e-03  5.29e-03    7.68e-02  5.52e-02    5.0e-03
  19600    1.29e+00  1.21e+00    9.40e-03  8.88e-03    4.09e-02  3.84e-02    5.0e-03
  19700    1.85e+00  1.64e+00    1.23e-02  1.54e-02    5.86e-02  5.18e-02    5.0e-03
